size,AD,STower,AD-diffs
0,1.0031172452991214e-6,1.1665341136235039e-6,2.0323110515324245e-8
1,2.560954545566375e-6,2.5309966679054476e-6,2.3757255245615875e-8
2,4.131733852018831e-6,2.51311278542218e-6,2.3030206484148744e-8
3,5.5164690906061265e-6,2.482483422316076e-6,2.33805285393244e-8
4,6.992297794344276e-6,2.3258177012074684e-6,2.22729576520111e-8
5,7.602734206722568e-6,2.164328246148155e-6,2.1471201553976427e-8
6,7.369884460527173e-6,1.932772086654272e-6,1.8311609715175365e-8
7,7.858496030093515e-6,1.908327000366781e-6,1.8978640248277303e-8
8,9.066092080047662e-6,1.967125746145513e-6,1.957856585701582e-8
9,1.0174050026396806e-5,1.9860760447335215e-6,1.9212133665005285e-8
10,1.0860432245444098e-5,1.8994905513909397e-6,1.8243549944155462e-8
