size,AD,STower
1,1.375889846891159e-5,1.0783715397691819e-5
2,2.636329145400441e-5,2.14437465666524e-5
3,3.776788249226719e-5,2.187300121026572e-5
4,6.425007733320629e-5,4.2349641940012e-5
5,7.69661368526768e-5,3.982935972119038e-5
6,1.0994308979230566e-4,7.269168950083486e-5
7,1.3420380008005703e-4,9.353073551613677e-5
8,1.7203638235983087e-4,1.1391645004207675e-4
9,2.0215679841982295e-4,1.407979643320745e-4
10,3.0506970168701854e-4,1.5796993206192432e-4
11,3.330638841753942e-4,2.25717367999811e-4
12,4.990704188978341e-4,2.6635791915533355e-4
